Row_ID,As_Of_Date,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
11,2025-07-09,1,3,1.25,750,900,3,159,1,2,5,3,0,1,1,0,2,1,6603.0,837.0,32259.0,1184.0,32304.0,809.0,19568.0,876.0,0.0,0.0,0.0,99903.0,19027.0,49946.0,47397,310714.0,1954.18
12,2025-07-09,1,3,1.25,750,900,2,172,2,3,0,0,2,2,1,1,2,1,4912.0,816.0,30710.0,1179.0,0.0,0.0,33079.0,766.0,0.0,0.0,0.0,0.0,6491.0,11648.0,16128,105730.0,614.71
13,2025-07-09,17,1,0.88,450,600,5,200,1,3,5,3,3,3,1,3,2,1,4680.0,488.0,28120.0,1234.0,21851.0,700.0,12473.0,461.0,0.0,0.0,0.0,118412.0,17019.0,51062.0,46170,302670.0,1513.35
14,2025-07-09,19,1,0.9,480,620,2,141,0,3,6,1,2,2,0,2,2,1,2370.0,530.0,32413.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230180.0,15401.0,27137.0,55546,364136.0,2582.53
15,2025-07-09,12,3,1.0,600,750,0,81,1,2,5,3,2,2,1,1,2,3,2964.0,637.0,10698.0,606.0,0.0,0.0,12366.0,652.0,0.0,167403.0,61916.0,0.0,16324.0,87977.0,65078,426621.0,5266.93
16,2025-07-09,1,3,1.25,750,900,3,203,1,3,0,2,1,4,1,3,2,1,4687.0,882.0,48319.0,1164.0,50237.0,812.0,18776.0,841.0,0.0,0.0,0.0,185857.0,29868.0,93784.0,78341,513568.0,2529.89
17,2025-07-09,22,1,0.9,480,620,5,244,0,1,6,3,0,4,1,0,2,1,6185.0,641.0,39340.0,1094.0,34969.0,974.0,26201.0,666.0,0.0,0.0,0.0,53099.0,13221.0,23986.0,36068,236444.0,969.03
18,2025-07-09,5,2,0.95,520,660,0,282,0,2,5,1,2,2,1,1,2,0,9387.0,641.0,37608.0,1731.0,0.0,0.0,38200.0,989.0,0.0,141880.0,78154.0,0.0,22212.0,38882.0,66543,436226.0,1546.9
19,2025-07-09,11,1,0.9,480,620,2,163,1,3,1,0,0,4,1,3,2,1,4867.0,600.0,33670.0,696.0,21151.0,544.0,23312.0,563.0,0.0,0.0,0.0,127139.0,18064.0,61212.0,52527,344346.0,2112.56
20,2025-07-09,3,2,1.02,600,750,0,468,1,0,5,2,2,2,1,1,2,3,13224.0,1636.0,82090.0,2464.0,0.0,0.0,43490.0,1321.0,0.0,131390.0,79731.0,0.0,29856.0,104827.0,88205,578232.0,1235.54
21,2025-07-09,1,3,1.25,750,900,0,265,1,0,3,2,2,2,1,1,2,3,9268.0,1299.0,140082.0,1396.0,0.0,0.0,34814.0,1040.0,0.0,184117.0,83388.0,0.0,31365.0,135255.0,111964,733988.0,2769.76
22,2025-07-09,22,1,0.9,480,620,6,453,1,3,5,0,1,4,1,0,2,1,7526.0,1025.0,58967.0,1848.0,59420.0,1218.0,63442.0,1085.0,0.0,0.0,0.0,60706.0,13154.0,68148.0,60577,397114.0,876.63
23,2025-07-09,20,2,1.0,550,700,5,382,1,0,5,0,0,3,0,1,2,1,9820.0,984.0,66784.0,2193.0,69624.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.0,38258.0,35348,231728.0,606.62
24,2025-07-09,10,2,0.95,550,700,2,395,2,2,4,0,2,2,1,1,2,1,12907.0,868.0,229729.0,1413.0,0.0,0.0,40735.0,1223.0,0.0,0.0,0.0,0.0,26206.0,54506.0,66166,433753.0,1098.11
25,2025-07-09,2,2,0.93,500,640,1,278,2,2,4,2,2,2,1,3,2,1,9455.0,853.0,200419.0,1310.0,0.0,0.0,37916.0,1086.0,0.0,0.0,0.0,97079.0,25257.0,74497.0,80617,528488.0,1901.03
26,2025-07-09,7,1,0.92,500,640,6,251,0,3,3,3,1,4,0,3,2,1,5171.0,565.0,80321.0,1390.0,41615.0,868.0,0.0,0.0,0.0,0.0,0.0,82161.0,12782.0,26511.0,45249,296633.0,1181.81
27,2025-07-09,15,1,0.94,520,660,5,216,1,3,0,3,2,2,0,0,2,1,5554.0,569.0,19988.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37202.0,5454.0,18515.0,15926,104406.0,483.36
28,2025-07-09,13,2,0.92,500,650,6,353,1,1,5,2,2,2,1,1,2,1,10973.0,768.0,37025.0,1624.0,0.0,0.0,44736.0,1204.0,0.0,0.0,0.0,0.0,6856.0,29862.0,23949,156998.0,444.75
29,2025-07-09,9,2,0.96,550,700,5,533,2,3,5,2,1,4,1,1,2,1,9855.0,1853.0,93277.0,1989.0,96893.0,1956.0,56205.0,1514.0,0.0,0.0,0.0,0.0,20768.0,64304.0,62750,411364.0,771.79
30,2025-07-09,7,1,0.92,500,640,6,117,0,3,6,0,1,0,0,3,2,1,2948.0,522.0,19025.0,536.0,11275.0,537.0,0.0,0.0,0.0,0.0,0.0,91799.0,6970.0,16590.0,27036,177239.0,1514.86
31,2025-07-09,0,3,1.05,600,750,6,141,2,0,5,0,1,4,1,3,2,1,4095.0,685.0,22086.0,705.0,24166.0,733.0,10708.0,634.0,0.0,0.0,0.0,145648.0,10550.0,48804.0,48387,317201.0,2249.65
32,2025-07-09,22,1,0.9,480,620,3,199,0,0,4,3,3,4,0,3,2,1,3664.0,620.0,158142.0,916.0,20457.0,845.0,0.0,0.0,0.0,0.0,0.0,121509.0,22097.0,42249.0,66690,437187.0,2196.92
33,2025-07-09,9,2,0.96,550,700,4,225,2,2,5,0,3,3,0,1,0,1,6701.0,558.0,28156.0,1481.0,32250.0,1193.0,0.0,0.0,184778.0,0.0,24459.0,0.0,19455.0,65980.0,65702,430715.0,1914.29
34,2025-07-09,0,3,1.05,600,750,3,508,2,3,0,0,0,1,0,0,2,1,12248.0,1618.0,56540.0,3392.0,117692.0,2511.0,0.0,0.0,0.0,0.0,0.0,80548.0,20130.0,67265.0,65150,427094.0,840.74
35,2025-07-09,6,3,1.2,750,900,4,418,1,3,0,2,1,4,1,1,1,1,13159.0,1305.0,93074.0,2320.0,84869.0,1645.0,71742.0,1610.0,1422506.0,0.0,31555.0,0.0,128965.0,530926.0,429061,2812736.0,6729.03
36,2025-07-09,19,1,0.9,480,620,4,487,2,2,5,0,1,0,0,1,4,1,17255.0,1600.0,47002.0,2345.0,82236.0,1891.0,0.0,0.0,200991.0,0.0,24655.0,0.0,30351.0,60476.0,84384,553185.0,1135.9
37,2025-07-09,10,2,0.95,550,700,5,428,2,2,0,2,1,0,0,0,2,1,10162.0,1392.0,41224.0,2151.0,68485.0,1855.0,0.0,0.0,0.0,0.0,0.0,39939.0,15285.0,40972.0,39864,261329.0,610.58
38,2025-07-09,4,3,1.1,650,800,5,291,2,3,3,2,2,2,1,1,2,1,7327.0,1137.0,171763.0,1285.0,0.0,0.0,31111.0,1026.0,0.0,0.0,0.0,0.0,14518.0,41875.0,48608,318650.0,1095.02
39,2025-07-09,20,2,1.0,550,700,2,212,1,1,5,3,3,4,1,0,2,1,8198.0,653.0,33221.0,864.0,23047.0,825.0,28595.0,649.0,0.0,0.0,0.0,75170.0,13848.0,47942.0,41942,274955.0,1296.96
40,2025-07-09,10,2,0.95,550,700,3,281,1,0,4,2,1,4,1,0,2,1,6022.0,630.0,176578.0,1611.0,41475.0,1181.0,20496.0,1094.0,0.0,0.0,0.0,60534.0,21318.0,88552.0,75508,494999.0,1761.56
41,2025-07-09,17,1,0.88,450,600,4,113,2,3,3,3,2,2,1,1,4,1,2926.0,538.0,24355.0,597.0,0.0,0.0,15152.0,483.0,244329.0,0.0,34576.0,0.0,18313.0,48766.0,70206,460242.0,4072.94
42,2025-07-09,14,3,1.3,800,950,4,548,0,2,0,0,1,4,1,1,0,1,25132.0,1819.0,89366.0,3789.0,145156.0,2723.0,78380.0,2507.0,305311.0,0.0,73527.0,0.0,58957.0,76410.0,155354,1018431.0,1858.45
43,2025-07-09,14,3,1.3,800,950,0,202,0,2,0,0,2,2,0,1,2,0,9098.0,1032.0,37603.0,1777.0,0.0,0.0,0.0,0.0,0.0,136738.0,110133.0,0.0,18099.0,43568.0,64449,422497.0,2091.57
44,2025-07-09,4,3,1.1,650,800,3,502,0,1,5,1,1,4,0,3,2,1,24410.0,1255.0,100042.0,2939.0,87144.0,1805.0,0.0,0.0,0.0,0.0,0.0,144456.0,19744.0,41274.0,76152,499221.0,994.46
45,2025-07-09,3,2,1.02,600,750,5,523,0,2,4,3,3,4,0,3,2,1,18524.0,1130.0,311781.0,2304.0,47100.0,1808.0,0.0,0.0,0.0,0.0,0.0,120452.0,39764.0,68422.0,110031,721316.0,1379.19
46,2025-07-09,10,2,0.95,550,700,0,312,2,2,5,2,2,2,1,1,2,3,11052.0,1019.0,40951.0,1540.0,0.0,0.0,23285.0,913.0,0.0,250947.0,62780.0,0.0,21225.0,62798.0,85772,562281.0,1802.18
47,2025-07-09,1,3,1.25,750,900,1,277,1,2,0,3,2,2,0,0,2,1,11446.0,1152.0,46130.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59478.0,9235.0,38812.0,30211,198048.0,714.98
48,2025-07-09,18,3,1.2,700,850,5,385,0,3,0,3,0,0,0,1,2,1,10504.0,1268.0,65324.0,2225.0,71327.0,2246.0,0.0,0.0,0.0,0.0,0.0,0.0,9858.0,21711.0,33203,217667.0,565.37
49,2025-07-09,6,3,1.2,750,900,5,487,1,0,0,2,2,2,1,1,2,1,10288.0,1856.0,64933.0,3443.0,0.0,0.0,87368.0,1728.0,0.0,0.0,0.0,0.0,8793.0,53599.0,41762,273770.0,562.16
50,2025-07-09,5,2,0.95,520,660,6,273,1,3,0,2,3,0,1,1,2,1,6564.0,616.0,41508.0,1221.0,30978.0,878.0,20955.0,853.0,0.0,0.0,0.0,0.0,7663.0,30450.0,25504,167190.0,612.42
51,2025-07-09,0,3,1.05,600,750,2,338,1,0,0,2,3,0,1,0,2,1,5851.0,937.0,53606.0,2002.0,33940.0,1770.0,36401.0,1410.0,0.0,0.0,0.0,52524.0,9833.0,62374.0,46917,307565.0,909.96
52,2025-07-09,10,2,0.95,550,700,6,232,2,0,2,3,3,4,0,0,2,1,4224.0,719.0,27450.0,1366.0,29932.0,1092.0,0.0,0.0,0.0,0.0,0.0,64336.0,11082.0,29439.0,30535,200175.0,862.82
53,2025-07-09,5,2,0.95,520,660,6,513,1,1,6,3,1,1,1,0,2,1,15948.0,1315.0,114800.0,2698.0,78234.0,2390.0,71629.0,1589.0,0.0,0.0,0.0,54830.0,30052.0,107838.0,86638,567962.0,1107.14
54,2025-07-09,14,3,1.3,800,950,0,506,1,3,0,3,2,2,1,1,2,3,12532.0,1529.0,90214.0,4341.0,0.0,0.0,71962.0,2224.0,0.0,275332.0,79700.0,0.0,47000.0,169418.0,135765,890017.0,1758.93
55,2025-07-09,22,1,0.9,480,620,2,95,1,0,3,0,1,4,1,1,2,1,1757.0,581.0,32385.0,527.0,13865.0,573.0,6637.0,558.0,0.0,0.0,0.0,0.0,3081.0,17918.0,14019,91900.0,967.37
56,2025-07-09,15,1,0.94,520,660,3,524,1,0,0,3,1,4,1,1,2,1,8117.0,1073.0,69595.0,1791.0,64701.0,1953.0,36153.0,1357.0,0.0,0.0,0.0,0.0,12292.0,62996.0,46805,306831.0,585.56
57,2025-07-09,12,3,1.0,600,750,5,469,1,0,0,3,1,4,1,0,2,1,12451.0,1328.0,65605.0,2457.0,67052.0,2189.0,65308.0,1721.0,0.0,0.0,0.0,38103.0,14907.0,84807.0,64067,419997.0,895.52
58,2025-07-09,7,1,0.92,500,640,5,489,0,2,1,3,3,0,1,1,2,1,17481.0,1452.0,118609.0,3055.0,61764.0,2136.0,46633.0,1722.0,0.0,0.0,0.0,0.0,16120.0,33377.0,54423,356772.0,729.59
59,2025-07-09,8,3,1.15,700,850,3,413,2,0,0,3,2,2,1,1,2,1,12752.0,1188.0,38196.0,2724.0,0.0,0.0,64333.0,2011.0,0.0,0.0,0.0,0.0,7500.0,27756.0,28163,184623.0,447.03
60,2025-07-09,14,3,1.3,800,950,5,271,1,0,5,2,0,4,1,3,2,1,5796.0,1164.0,58010.0,2263.0,48324.0,1263.0,49596.0,1564.0,0.0,0.0,0.0,109659.0,18819.0,82181.0,68155,446794.0,1648.68
61,2025-07-09,20,2,1.0,550,700,4,428,2,3,0,2,2,2,1,1,0,1,13317.0,1325.0,63523.0,2813.0,0.0,0.0,56746.0,1237.0,291202.0,0.0,26294.0,0.0,27101.0,104529.0,105856,693944.0,1621.37
62,2025-07-09,18,3,1.2,700,850,1,221,2,1,4,3,1,4,1,3,2,1,11438.0,747.0,219105.0,1679.0,54544.0,922.0,30439.0,942.0,0.0,0.0,0.0,183250.0,26907.0,101619.0,113686,745278.0,3372.3
63,2025-07-09,7,1,0.92,500,640,3,156,2,0,0,3,2,2,1,0,2,1,3648.0,560.0,11968.0,846.0,0.0,0.0,22705.0,633.0,0.0,0.0,0.0,44312.0,7442.0,15410.0,19354,126878.0,813.32
64,2025-07-09,22,1,0.9,480,620,5,527,0,3,3,3,1,0,0,1,2,1,10440.0,1390.0,107879.0,2175.0,75005.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,10763.0,28244.0,42823,280730.0,532.69
65,2025-07-09,12,3,1.0,600,750,0,318,1,2,0,2,2,2,1,1,2,2,10838.0,800.0,34672.0,1904.0,0.0,0.0,50802.0,968.0,0.0,341908.0,70250.0,0.0,32805.0,134181.0,122243,801370.0,2520.03
66,2025-07-09,10,2,0.95,550,700,3,145,1,3,4,2,2,2,1,2,2,1,2764.0,580.0,60245.0,793.0,0.0,0.0,17229.0,563.0,0.0,0.0,0.0,389536.0,35837.0,161796.0,120482,789824.0,5447.06
67,2025-07-09,21,2,0.98,550,700,3,345,0,3,6,3,2,2,1,1,2,1,8066.0,911.0,54717.0,1993.0,0.0,0.0,27445.0,1199.0,0.0,0.0,0.0,0.0,7711.0,14055.0,20898,136996.0,397.09
68,2025-07-09,20,2,1.0,550,700,2,499,0,3,5,3,2,2,0,3,2,1,11551.0,1365.0,96595.0,2101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136362.0,22314.0,28021.0,53696,352005.0,705.42
69,2025-07-09,6,3,1.2,750,900,1,91,1,3,0,0,2,2,1,0,2,1,3113.0,755.0,12909.0,795.0,0.0,0.0,12101.0,853.0,0.0,0.0,0.0,63867.0,6164.0,30867.0,23656,155081.0,1704.18
70,2025-07-09,4,3,1.1,650,800,4,483,2,2,5,1,1,0,0,1,4,1,15492.0,1674.0,88828.0,3430.0,78496.0,2235.0,0.0,0.0,205017.0,0.0,65845.0,0.0,33273.0,102807.0,107477,704574.0,1458.75
71,2025-07-09,10,2,0.95,550,700,0,81,2,1,5,0,2,2,1,1,2,3,2032.0,624.0,9818.0,631.0,0.0,0.0,11498.0,659.0,0.0,106974.0,67355.0,0.0,13467.0,40118.0,45571,298746.0,3688.23
72,2025-07-09,10,2,0.95,550,700,1,255,2,3,4,1,0,4,0,0,2,1,4850.0,809.0,181953.0,1233.0,22456.0,782.0,0.0,0.0,0.0,0.0,0.0,35575.0,23175.0,55971.0,58825,385627.0,1512.26
73,2025-07-09,4,3,1.1,650,800,4,517,2,1,5,2,2,2,0,1,4,1,18884.0,1716.0,83924.0,3449.0,0.0,0.0,0.0,0.0,400363.0,0.0,53990.0,0.0,28600.0,93346.0,123169,807441.0,1561.78
74,2025-07-09,2,2,0.93,500,640,4,534,1,2,0,3,3,0,1,1,1,1,17100.0,1186.0,66775.0,1723.0,48535.0,2050.0,62094.0,1335.0,499403.0,0.0,29999.0,0.0,47960.0,224901.0,180551,1183612.0,2216.5
75,2025-07-09,22,1,0.9,480,620,0,322,2,3,5,3,2,2,1,1,2,3,8546.0,781.0,34509.0,1123.0,0.0,0.0,28071.0,826.0,0.0,204146.0,60206.0,0.0,24822.0,83199.0,80321,526552.0,1635.25
76,2025-07-09,17,1,0.88,450,600,3,416,2,3,0,3,1,1,1,1,2,1,11682.0,947.0,37710.0,2029.0,71423.0,1728.0,34575.0,895.0,0.0,0.0,0.0,0.0,8164.0,26080.0,35142,230376.0,553.79
77,2025-07-09,3,2,1.02,600,750,5,376,0,3,5,3,2,2,0,1,2,1,7800.0,1008.0,62061.0,2233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4490.0,7676.0,15348,100614.0,267.59
78,2025-07-09,14,3,1.3,800,950,3,112,1,2,3,2,0,0,1,2,2,1,5882.0,863.0,39899.0,925.0,23627.0,932.0,11598.0,947.0,0.0,0.0,0.0,460013.0,40412.0,148699.0,132083,865880.0,7731.07
79,2025-07-09,4,3,1.1,650,800,3,312,2,0,4,0,2,2,0,3,2,1,6911.0,834.0,204565.0,2329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144681.0,19352.0,60725.0,79091,518488.0,1661.82
80,2025-07-09,22,1,0.9,480,620,1,158,0,1,0,0,0,4,0,3,2,1,5095.0,517.0,16104.0,709.0,14684.0,537.0,0.0,0.0,0.0,0.0,0.0,99988.0,7591.0,17067.0,29212,191504.0,1212.05
81,2025-07-09,10,2,0.95,550,700,4,365,0,3,5,3,2,2,0,1,0,1,8444.0,882.0,61798.0,1716.0,0.0,0.0,0.0,0.0,214680.0,0.0,41312.0,0.0,22213.0,48667.0,71948,471659.0,1292.22
82,2025-07-09,19,1,0.9,480,620,1,99,1,0,1,3,3,0,1,3,2,1,2608.0,542.0,26571.0,606.0,8991.0,488.0,12037.0,535.0,0.0,0.0,0.0,124048.0,9107.0,59985.0,44193,289712.0,2926.38
83,2025-07-09,20,2,1.0,550,700,6,100,0,0,2,1,1,0,0,1,2,1,2246.0,665.0,17442.0,613.0,15081.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.0,5394.0,7945,52084.0,520.84
84,2025-07-09,17,1,0.88,450,600,0,323,1,2,0,2,2,2,1,1,2,2,8824.0,810.0,33554.0,1662.0,0.0,0.0,42286.0,1193.0,0.0,340778.0,78230.0,0.0,31244.0,176553.0,128724,843860.0,2612.57
85,2025-07-09,1,3,1.25,750,900,1,355,2,2,4,0,2,2,0,1,2,1,13227.0,1382.0,152180.0,2658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13215.0,35584.0,39284,257529.0,725.43
86,2025-07-09,22,1,0.9,480,620,3,223,2,1,1,3,1,4,1,0,2,1,6372.0,558.0,49778.0,995.0,38737.0,975.0,16744.0,545.0,0.0,0.0,0.0,65220.0,11502.0,42822.0,42165,276413.0,1239.52
87,2025-07-09,15,1,0.94,520,660,5,456,0,1,3,3,1,0,0,0,2,1,13279.0,1022.0,177817.0,1727.0,62149.0,1720.0,0.0,0.0,0.0,0.0,0.0,59758.0,19047.0,40637.0,67888,445044.0,975.97
88,2025-07-09,18,3,1.2,700,850,3,505,2,0,5,1,1,1,1,0,2,1,10905.0,1883.0,132761.0,2395.0,131646.0,2511.0,69542.0,1515.0,0.0,0.0,0.0,86384.0,41277.0,108127.0,106010,694957.0,1376.15
89,2025-07-09,20,2,1.0,550,700,4,268,1,2,0,0,0,4,1,1,4,1,8982.0,842.0,23734.0,1589.0,38173.0,904.0,29875.0,973.0,315617.0,0.0,57091.0,0.0,36508.0,160534.0,121468,796291.0,2971.23
90,2025-07-09,11,1,0.9,480,620,1,321,0,3,5,2,2,2,0,0,2,1,9338.0,656.0,50487.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48953.0,5475.0,16275.0,23844,156312.0,486.95
91,2025-07-09,17,1,0.88,450,600,0,75,1,3,0,3,2,2,1,1,2,3,1971.0,515.0,10127.0,529.0,0.0,0.0,6119.0,503.0,0.0,141330.0,62546.0,0.0,22101.0,72012.0,57196,374950.0,4999.33
92,2025-07-09,0,3,1.05,600,750,4,398,0,2,0,2,2,2,0,1,0,1,12260.0,1464.0,46994.0,2232.0,0.0,0.0,0.0,0.0,166820.0,0.0,45660.0,0.0,14165.0,36632.0,58721,384948.0,967.21
93,2025-07-09,18,3,1.2,700,850,3,402,1,0,3,0,2,2,1,1,2,1,14452.0,1721.0,126919.0,2589.0,0.0,0.0,51060.0,1738.0,0.0,0.0,0.0,0.0,17652.0,59147.0,49550,324827.0,808.03
94,2025-07-09,16,2,0.95,520,680,6,500,2,2,5,2,0,4,0,0,2,1,11020.0,1490.0,65855.0,2010.0,69052.0,1727.0,0.0,0.0,0.0,0.0,0.0,45401.0,18570.0,36952.0,45374,297451.0,594.9
95,2025-07-09,21,2,0.98,550,700,5,396,1,2,4,3,1,0,1,1,2,1,8964.0,1072.0,168757.0,2091.0,62277.0,1625.0,46620.0,1558.0,0.0,0.0,0.0,0.0,22273.0,84374.0,71930,471541.0,1190.76
96,2025-07-09,7,1,0.92,500,640,2,446,2,3,0,2,3,3,1,0,2,1,11289.0,1395.0,66386.0,2146.0,48261.0,1361.0,38017.0,1156.0,0.0,0.0,0.0,36595.0,11100.0,31198.0,44803,293708.0,658.54
97,2025-07-09,10,2,0.95,550,700,1,525,2,3,0,2,3,4,1,3,2,1,12629.0,1443.0,62265.0,2425.0,81856.0,2005.0,60762.0,1674.0,0.0,0.0,0.0,113329.0,18426.0,79183.0,78479,514476.0,979.95
98,2025-07-09,19,1,0.9,480,620,5,354,1,2,4,0,2,2,1,0,2,1,13011.0,694.0,111266.0,1455.0,0.0,0.0,30985.0,1113.0,0.0,0.0,0.0,43965.0,14435.0,54267.0,48814,320005.0,903.97
99,2025-07-09,7,1,0.92,500,640,0,349,1,1,5,3,2,2,1,1,2,2,14134.0,713.0,51437.0,1242.0,0.0,0.0,32734.0,1339.0,0.0,343019.0,77089.0,0.0,28667.0,157034.0,127333,834741.0,2391.81
100,2025-07-09,8,3,1.15,700,850,4,176,1,3,5,3,3,4,1,1,3,1,4989.0,816.0,25896.0,1273.0,25988.0,754.0,17936.0,772.0,601313.0,0.0,31454.0,0.0,36960.0,214780.0,173327,1136258.0,6456.01
101,2025-07-09,15,1,0.94,520,660,1,80,2,3,0,0,0,1,1,1,2,1,1665.0,544.0,10604.0,552.0,13340.0,623.0,8171.0,521.0,0.0,0.0,0.0,0.0,2878.0,7745.0,8396,55039.0,687.99
102,2025-07-09,1,3,1.25,750,900,2,118,1,3,0,3,2,2,1,0,2,1,4818.0,829.0,19013.0,865.0,0.0,0.0,21127.0,856.0,0.0,0.0,0.0,42797.0,4976.0,24292.0,21523,141097.0,1195.73
103,2025-07-09,8,3,1.15,700,850,5,216,0,0,0,3,1,4,1,2,2,1,6209.0,763.0,38138.0,1776.0,31352.0,1121.0,17602.0,720.0,0.0,0.0,0.0,393001.0,36350.0,58391.0,105376,690800.0,3198.15
104,2025-07-09,22,1,0.9,480,620,0,269,2,0,0,0,2,2,1,1,2,3,5004.0,597.0,25403.0,1094.0,0.0,0.0,19414.0,607.0,0.0,176111.0,73620.0,0.0,21588.0,60068.0,69031,452536.0,1682.29
105,2025-07-09,18,3,1.2,700,850,0,119,1,3,3,1,2,2,1,1,2,3,3417.0,823.0,79647.0,736.0,0.0,0.0,14502.0,807.0,0.0,238182.0,101693.0,0.0,39489.0,142937.0,112002,734233.0,6170.02
106,2025-07-09,19,1,0.9,480,620,4,325,1,3,5,2,2,2,0,1,1,1,6594.0,700.0,35267.0,1378.0,0.0,0.0,0.0,0.0,896067.0,0.0,30365.0,0.0,82857.0,294993.0,242680,1590900.0,4895.08
107,2025-07-09,0,3,1.05,600,750,3,474,2,3,5,3,1,4,0,0,2,1,12783.0,1229.0,73021.0,1956.0,52650.0,1821.0,0.0,0.0,0.0,0.0,0.0,66368.0,13910.0,41756.0,47789,313282.0,660.93
108,2025-07-09,1,3,1.25,750,900,3,326,0,2,4,3,0,4,0,1,2,1,11160.0,1405.0,319304.0,2011.0,55390.0,1452.0,0.0,0.0,0.0,0.0,0.0,0.0,37776.0,57827.0,87538,573862.0,1760.31
109,2025-07-09,18,3,1.2,700,850,6,506,1,2,6,2,2,2,1,1,2,1,17580.0,1463.0,106538.0,2852.0,0.0,0.0,47488.0,2136.0,0.0,0.0,0.0,0.0,13674.0,49856.0,43486,285073.0,563.38
